pop	clust1	clust2	clust3	clust4	clust5
half	0.2056	0.0413	0.4363	0.2155	0.1012
half	0.0384	0.6527	0.2192	0.0408	0.0489
half	0.1826	0.0191	0.3470	0.1554	0.2959
half	0.4345	0.0835	0.0913	0.1096	0.2812
half	0.1062	0.0511	0.3391	0.1637	0.3399
half	0.1155	0.0186	0.0493	0.7247	0.0919
half	0.1786	0.1901	0.0739	0.3736	0.1837
half	0.1018	0.2078	0.1909	0.1689	0.3307
half	0.6701	0.0204	0.0561	0.1152	0.1381
half	0.2518	0.0371	0.0372	0.3705	0.3034
half	0.2852	0.0382	0.3600	0.1861	0.1305
half	0.0558	0.7579	0.0308	0.0893	0.0663
half	0.2206	0.3634	0.0702	0.1648	0.1809
half	0.0881	0.0761	0.2816	0.1881	0.3660
half	0.2283	0.0569	0.0819	0.3407	0.2922
half	0.2001	0.0368	0.1141	0.2404	0.4086
half	0.3871	0.0918	0.1182	0.1785	0.2244
half	0.0821	0.0967	0.5187	0.1638	0.1388
half	0.0878	0.0209	0.7599	0.0452	0.0861
half	0.1838	0.0989	0.0492	0.3165	0.3516
half	0.0417	0.8688	0.0242	0.0367	0.0287
half	0.0889	0.2199	0.4205	0.1295	0.1411
half	0.4215	0.0753	0.1983	0.0972	0.2076
half	0.4083	0.1093	0.1401	0.2341	0.1081
half	0.0973	0.1343	0.1428	0.2314	0.3941
half	0.2799	0.0500	0.1016	0.1234	0.4451
half	0.3644	0.0375	0.1355	0.2486	0.2141
half	0.0691	0.4229	0.0646	0.1794	0.2641
half	0.6185	0.1610	0.0282	0.1470	0.0452
half	0.1489	0.0488	0.0301	0.5913	0.1810
half	0.3198	0.3455	0.0403	0.1715	0.1228
half	0.1896	0.2881	0.2723	0.1173	0.1327
half	0.0977	0.0568	0.2714	0.1141	0.4600
half	0.2521	0.1340	0.0541	0.2454	0.3144
half	0.3706	0.0711	0.0827	0.3100	0.1656
half	0.0364	0.8403	0.0511	0.0364	0.0357
half	0.2050	0.0379	0.2696	0.2931	0.1944
half	0.0447	0.0735	0.7340	0.0904	0.0573
half	0.0793	0.7455	0.0294	0.0723	0.0734
half	0.0850	0.2073	0.3841	0.1067	0.2170
half	0.1055	0.5356	0.2072	0.0874	0.0645
half	0.2267	0.0559	0.1182	0.3285	0.2707
half	0.0997	0.1981	0.1225	0.3939	0.1858
half	0.0827	0.2952	0.2351	0.1183	0.2688
half	0.2679	0.0562	0.0902	0.4494	0.1361
half	0.0526	0.0645	0.6584	0.1081	0.1165
half	0.0467	0.2216	0.3777	0.1660	0.1881
half	0.1383	0.1388	0.2111	0.1891	0.3227
half	0.1596	0.1140	0.0400	0.1621	0.5243
half	0.4872	0.0357	0.0930	0.2885	0.0957
half	0.2594	0.0426	0.0458	0.3438	0.3085
half	0.5150	0.1076	0.2327	0.0851	0.0596
half	0.4460	0.0986	0.2719	0.1286	0.0548
half	0.1554	0.0363	0.2675	0.3807	0.1601
half	0.2739	0.0295	0.0591	0.5143	0.1233
half	0.0566	0.0351	0.0660	0.3210	0.5213
half	0.5527	0.0227	0.0403	0.2263	0.1580
half	0.1236	0.0374	0.0298	0.7049	0.1043
half	0.2940	0.0252	0.0533	0.1541	0.4733
half	0.0554	0.0193	0.1340	0.4889	0.3024
half	0.1704	0.0698	0.0541	0.3206	0.3852
half	0.1768	0.0511	0.3675	0.3097	0.0949
half	0.0351	0.0413	0.7150	0.1345	0.0740
half	0.1477	0.0279	0.3128	0.2675	0.2441
half	0.0591	0.0300	0.0330	0.6506	0.2273
half	0.5030	0.0570	0.0674	0.2113	0.1613
half	0.0650	0.0430	0.0615	0.0953	0.7352
half	0.1023	0.0517	0.1089	0.5543	0.1828
half	0.0991	0.2146	0.1854	0.4408	0.0601
half	0.1637	0.2731	0.0526	0.2941	0.2165
half	0.2394	0.0365	0.1609	0.4319	0.1313
half	0.1918	0.5922	0.0214	0.0674	0.1271
half	0.0833	0.0191	0.0339	0.8029	0.0608
half	0.2006	0.1714	0.0268	0.1926	0.4087
half	0.0949	0.1181	0.1198	0.1050	0.5621
half	0.1488	0.0519	0.0470	0.5449	0.2074
half	0.0576	0.7662	0.0500	0.0492	0.0770
half	0.0766	0.0817	0.5812	0.0682	0.1923
half	0.0755	0.0989	0.0488	0.1469	0.6299
half	0.1968	0.0781	0.1441	0.5086	0.0723
half	0.1541	0.0364	0.1240	0.5382	0.1472
half	0.1884	0.0337	0.2171	0.3334	0.2275
half	0.0370	0.0659	0.7532	0.0734	0.0705
half	0.0849	0.4847	0.0791	0.0847	0.2666
half	0.0318	0.1131	0.7447	0.0493	0.0611
half	0.7892	0.0276	0.0370	0.0628	0.0834
half	0.3330	0.1118	0.1474	0.0952	0.3126
half	0.5159	0.0226	0.0438	0.2303	0.1875
half	0.1386	0.0454	0.3437	0.3413	0.1311
half	0.1419	0.0819	0.2136	0.3734	0.1893
half	0.1492	0.2810	0.2988	0.1628	0.1081
half	0.3844	0.1005	0.1092	0.1474	0.2585
half	0.1492	0.0543	0.0444	0.0990	0.6530
half	0.4937	0.0360	0.0936	0.2539	0.1229
half	0.0672	0.1922	0.2087	0.4721	0.0599
half	0.3009	0.0451	0.0803	0.1758	0.3978
half	0.2433	0.0737	0.0377	0.1970	0.4484
half	0.5037	0.0253	0.0273	0.3074	0.1362
half	0.2999	0.0565	0.3900	0.1373	0.1164
half	0.2222	0.4350	0.1463	0.0794	0.1172
half	0.0972	0.1333	0.0818	0.5014	0.1864
half	0.0677	0.0289	0.3193	0.1677	0.4165
half	0.2257	0.0530	0.1664	0.4670	0.0880
half	0.0418	0.8477	0.0226	0.0473	0.0406
half	0.3582	0.0400	0.0490	0.4276	0.1252
half	0.0527	0.7106	0.0834	0.0422	0.1111
half	0.2115	0.0193	0.2973	0.2592	0.2126
half	0.4992	0.0558	0.0750	0.1582	0.2118
half	0.1892	0.0272	0.2576	0.3983	0.1277
half	0.0935	0.0382	0.5295	0.2664	0.0724
half	0.2502	0.0916	0.2994	0.2379	0.1209
half	0.0647	0.0580	0.0362	0.0683	0.7728
half	0.1843	0.0186	0.1043	0.6032	0.0896
half	0.0212	0.9042	0.0191	0.0326	0.0229
half	0.0896	0.2381	0.4884	0.0545	0.1295
half	0.0872	0.0799	0.0782	0.3800	0.3747
half	0.0749	0.0093	0.0260	0.8294	0.0603
half	0.2795	0.0825	0.0821	0.3468	0.2091
half	0.0831	0.0529	0.0537	0.7350	0.0753
half	0.1443	0.0891	0.3288	0.1083	0.3294
half	0.2884	0.0398	0.0987	0.2214	0.3518
half	0.0828	0.0767	0.2375	0.1662	0.4368
half	0.3678	0.0761	0.0702	0.2882	0.1977
half	0.0912	0.0498	0.1894	0.2919	0.3777
half	0.2628	0.0851	0.0530	0.2496	0.3495
half	0.3395	0.0458	0.0766	0.2950	0.2432
half	0.1184	0.0371	0.3568	0.1332	0.3544
half	0.4060	0.0351	0.1749	0.2170	0.1671
half	0.5688	0.0700	0.0454	0.0661	0.2497
half	0.1127	0.0272	0.3393	0.1237	0.3972
half	0.2912	0.0511	0.1556	0.3603	0.1418
half	0.0614	0.0322	0.4897	0.0500	0.3667
half	0.1321	0.0717	0.2707	0.2375	0.2880
half	0.5852	0.0492	0.0490	0.1235	0.1930
half	0.4408	0.0208	0.0301	0.3744	0.1339
half	0.1707	0.0598	0.5982	0.0974	0.0739
half	0.0381	0.7618	0.0971	0.0411	0.0619
half	0.0707	0.1881	0.1462	0.0679	0.5272
half	0.1256	0.0397	0.1140	0.5378	0.1829
half	0.1221	0.0930	0.1624	0.2435	0.3791
half	0.0985	0.1134	0.0336	0.5445	0.2101
half	0.0996	0.0202	0.2127	0.2509	0.4167
half	0.3733	0.0647	0.2812	0.1431	0.1378
half	0.3470	0.0396	0.2075	0.2645	0.1413
half	0.1801	0.0973	0.0353	0.5002	0.1870
half	0.0969	0.0280	0.3905	0.3412	0.1434
half	0.1515	0.2008	0.4009	0.0728	0.1740
half	0.3802	0.0982	0.2118	0.2134	0.0964
half	0.0764	0.0690	0.5221	0.1025	0.2299
half	0.1569	0.0743	0.0860	0.6228	0.0600
half	0.0986	0.0625	0.1089	0.5786	0.1514
half	0.1148	0.1015	0.0466	0.4230	0.3142
half	0.0977	0.0357	0.0921	0.4168	0.3577
half	0.0622	0.1387	0.1645	0.1116	0.5231
