pop	clust1	clust2	clust3
half	0.8286	0.0622	0.1093
half	0.2222	0.1562	0.6216
half	0.0701	0.7827	0.1472
half	0.1781	0.4211	0.4007
half	0.5102	0.1311	0.3587
half	0.2515	0.2370	0.5116
half	0.5340	0.3174	0.1486
half	0.3890	0.0620	0.5490
half	0.3597	0.1926	0.4477
half	0.4344	0.1194	0.4463
half	0.6825	0.2164	0.1011
half	0.2068	0.0783	0.7149
half	0.1217	0.3543	0.5240
half	0.3359	0.2554	0.4088
half	0.2158	0.1832	0.6010
half	0.5498	0.2115	0.2387
half	0.4943	0.1983	0.3074
half	0.5809	0.2588	0.1603
half	0.5366	0.1274	0.3360
half	0.2530	0.3068	0.4401
half	0.0393	0.9201	0.0406
half	0.1827	0.2793	0.5380
half	0.2251	0.0845	0.6904
half	0.6801	0.1030	0.2169
half	0.0977	0.0786	0.8237
half	0.6503	0.1078	0.2419
half	0.0932	0.4123	0.4945
half	0.3401	0.0674	0.5924
half	0.2019	0.5996	0.1985
half	0.2532	0.2498	0.4969
half	0.4988	0.1273	0.3739
half	0.3769	0.2690	0.3541
half	0.2574	0.5172	0.2254
half	0.1519	0.4314	0.4166
half	0.4194	0.3043	0.2762
half	0.3197	0.1584	0.5219
half	0.7648	0.0598	0.1754
half	0.6127	0.2216	0.1657
half	0.5967	0.0761	0.3272
half	0.7572	0.0989	0.1439
half	0.1902	0.1756	0.6342
half	0.6597	0.1040	0.2363
half	0.6145	0.0646	0.3209
half	0.0556	0.8613	0.0831
half	0.3874	0.2597	0.3529
half	0.3061	0.1676	0.5263
half	0.4905	0.2831	0.2264
half	0.3016	0.4298	0.2685
half	0.4866	0.1120	0.4014
half	0.3285	0.1575	0.5140
half	0.6090	0.1439	0.2471
half	0.3938	0.0467	0.5595
half	0.3945	0.2759	0.3297
half	0.3015	0.0569	0.6416
half	0.2148	0.1720	0.6132
half	0.2319	0.4642	0.3038
half	0.3335	0.1300	0.5365
half	0.3082	0.1702	0.5215
half	0.1295	0.7822	0.0883
half	0.2383	0.4433	0.3184
half	0.3585	0.4397	0.2018
half	0.5683	0.2840	0.1477
half	0.8280	0.1068	0.0652
half	0.0924	0.0855	0.8221
half	0.2731	0.0617	0.6652
half	0.2798	0.0975	0.6227
half	0.3947	0.2194	0.3859
half	0.5247	0.1175	0.3578
half	0.2793	0.1576	0.5631
half	0.3465	0.4534	0.2001
half	0.2849	0.0951	0.6200
half	0.5745	0.3217	0.1038
half	0.1768	0.1452	0.6780
half	0.1981	0.4429	0.3590
half	0.2715	0.5016	0.2269
